species_id,centromere,exp_ploidy,chr_number_2n,genomic_fastq,k,run_hifiasm,run_genomescope,notes
Drosera_paradoxa,holocentric,2,12,/biodata/dep_mercier/grp_marques/marques/Hologen/Drosera/Drosera_paradoxa_6298A/6298.A.fastq.gz;/biodata/dep_mercier/grp_marques/marques/Hologen/Drosera/Drosera_paradoxa_6298A/6298_A.run801.hifi_reads.fastq.gz;/biodata/dep_mercier/grp_marques/marques/Hologen/Drosera/Drosera_paradoxa_6298A/6036_B/01.Data_result/r84128_20231119.fastq.gz,21,yes,yes,
Drosera_binata,monocentric,2,32,/biodata/dep_mercier/grp_marques/marques/Hologen/Drosera/23022LRa012_5546D_75pM-Cell1/Drosera_binata.fastq.gz;/biodata/dep_mercier/grp_marques/marques/Hologen/Drosera/Drosera_binata_6718B/deduplicated.6718.B.0_0.fastq.gz,21,yes,yes,needs decontamination
Drosera_roseana,holocentric,2,6,/biodata/dep_mercier/grp_marques/marques/Hologen/Drosera/Drosera_roseana_6179T/demultiplex.bc1012_BAK8A_OA--bc1012_BAK8A_OA.hifi_reads.fastq.gz;/biodata/dep_mercier/grp_marques/marques/Hologen/Drosera/Drosera_roseana_6298C/6298.C.fastq.gz,21,yes,yes,
Drosera_scorpioides,holocentric,4,16,/biodata/dep_mercier/grp_marques/marques/Hologen/Drosera/Drosera_scorpioides_6298B/6298.B.m84191_240214_103740_s4.6298.B.7_7.fastq.gz;/biodata/dep_mercier/grp_marques/marques/Hologen/Drosera/Drosera_scorpioides_6298B/6298_B.run800.hifi_reads_m84191_240123_151731_s2.6298.B.7_7.fastq.gz;/biodata/dep_mercier/grp_marques/marques/Hologen/Drosera/Drosera_scorpioides_6298B/6036_A/01.Data_result/r84128_20231119.fastq.gz;/biodata/dep_mercier/grp_marques/marques/Hologen/Drosera/Drosera_scorpioides_6298B/Drosera_scorpioides/demultiplex.bc1012_BAK8A_OA--bc1012_BAK8A_OA.hifi_reads.fastq.gz;/biodata/dep_mercier/grp_marques/marques/Hologen/Drosera/Drosera_scorpioides_6298B/Drosera_scorpioides/demultiplex.bc1012_BAK8A_OA--bc1012_BAK8A_OA.hifi_reads2.fastq.gz;/biodata/dep_mercier/grp_marques/marques/Hologen/Drosera/Drosera_scorpioides_6298B/Drosera_scorpioides/m64078e_220722_120155.hifi_reads.fastq.gz,21,yes,yes,tetraploid
Drosera_aliciae,monocentric,5,,/biodata/dep_mercier/grp_marques/marques/Hologen/Drosera/Drosera_aliciae_5546A/23022LRa010_5546A_85pM-Cell4/Drosera_aliciae.fastq.gz,21,yes,yes,suspected pentaploid; chr_number_2n unknown
Drosera_tokaiensis,monocentric,6,,/biodata/dep_mercier/grp_marques/marques/Hologen/Drosera/23022LRa011_B01_5546C_90pM-Cell2/23022LRa011_B01_5546C_90pM-Cell2.fastq.gz,21,yes,yes,suspected hexaploid; chr_number_2n unknown
Drosera_filiformis,monocentric,,,/biodata/dep_mercier/grp_marques/marques/Hologen/Drosera/Drosera_filiformis_6718A/deduplicated.6718.A.0_0.fastq.gz,21,yes,yes,exp_ploidy and chr_number_2n unknown
