species	n_tx	single_exon_pct	intron_sup_pct	exon_sup_pct	sp_short
Drosera_binata	36872	18.93848991104361	99.96547288229037	94.05426883076682	D. binata
Drosera_paradoxa	105160	62.57131989349563	99.96305637779187	79.13739585035125	D. paradoxa
